x,y,z
610469.755426,268001.608731,-13402.78125
610495.790026,267999.197812,-13407.945313
610521.826124,267996.847336,-13412.04834
610547.862221,267994.49686,-13416.151367
610573.907291,267992.202165,-13419.566406
610599.952362,267989.907469,-13422.981445
610626.009271,267987.663699,-13425.916504
610652.066181,267985.419928,-13428.851563
610678.142184,267983.218227,-13431.530762
610704.218186,267981.016525,-13434.209961
610730.321418,267978.848187,-13436.888672
610756.42465,267976.679848,-13439.567383
609322.020988,268041.716152,-13204.467773
609372.376684,268067.613166,-13198.804199
609397.582479,268068.431663,-13199.390625
609422.769973,268069.246332,-13200.086426
609447.95149,268069.955908,-13200.821289
609473.112111,268070.676649,-13201.687012
609498.281189,268071.259762,-13202.589844
609523.421461,268071.886327,-13203.628906
609548.582122,268072.348768,-13204.769531
609573.707995,268072.879697,-13206.001465
609598.872135,268073.19482,-13207.470215
609623.989878,268073.622769,-13208.942871
609649.164223,268073.783436,-13210.747559
609674.286117,268074.079153,-13212.455078
609699.480908,268074.063364,-13214.614746
609724.613443,268074.209805,-13216.515625
609749.834651,268074.005192,-13218.967285
609774.987539,268073.976191,-13221.073242
609800.243628,268073.572745,-13223.859863
609825.425651,268073.350213,-13226.219238
609850.731501,268072.717291,-13229.426758
609875.959561,268072.268754,-13232.188477
609901.328972,268071.385968,-13235.974609
609926.620022,268070.68077,-13239.396484
609952.067953,268069.537005,-13244.077148
609977.440067,268068.561804,-13248.473145
610002.97977,268067.153404,-13254.198242
610028.449924,268065.889738,-13259.831055
610054.100754,268064.182904,-13266.807129
610079.684189,268062.61653,-13273.749023
610105.435377,268060.656952,-13281.808594
610131.136886,268058.796343,-13290.041016
610156.994296,268056.585793,-13298.994629
610182.797867,268054.489331,-13308.095703
610208.730743,268052.112511,-13317.424805
610234.626371,268049.812825,-13327.048828
610260.613986,268047.327872,-13336.224609
610286.571888,268044.904983,-13345.740234
610312.587155,268042.389652,-13354.158203
610338.593562,268039.893663,-13363.211914
610364.626186,268037.385976,-13370.688477
610390.660244,268034.872737,-13378.78125
610416.691667,268032.413577,-13384.978516
610442.752093,268029.893308,-13392.089844
610468.786693,268027.482389,-13397.253906
610494.861387,268024.987008,-13403.259766
610520.897484,268022.636531,-13407.362793
610546.983455,268020.190654,-13412.398926
610573.028525,268017.895959,-13415.813965
610599.133881,268015.486873,-13420.090332
610625.190791,268013.243102,-13423.025391
610651.314965,268010.881134,-13426.727539
610677.390968,268008.679432,-13429.406738
610703.534878,268006.366997,-13432.643066
610729.63811,268004.198659,-13435.321777
610756.42465,267976.679848,-13439.567383
610756.42465,267976.679848,-13439.567383
610808.673713,267972.436709,-13444.855469
610808.673713,267972.436709,-13444.855469
610860.908625,267968.419683,-13449.321289
610860.908625,267968.419683,-13449.321289
610913.094998,267964.693354,-13452.658203
610913.094998,267964.693354,-13452.658203
610965.236628,267961.246114,-13455.111328
609321.847318,268089.77273,-13190.749023
609372.332043,268091.480248,-13192.03418
609397.519536,268092.294917,-13192.72998
609422.70703,268093.109586,-13193.425781
609447.867651,268093.830327,-13194.291504
609473.028272,268094.551068,-13195.157227
609498.168544,268095.177633,-13196.196289
